activity_id,sub_activity_id,donor,announcement_date,aid_type_general,aid_type_specific,explanation,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,item,item_type,item_sub_type,item_soviet_origin,item_numb,item_numb_deliv, item_price_USD ,item_value_estimate_USD,item_value_estimate_deliv_USD,official_source_dummy,source_of_aid_1,source_of_aid_2,source_of_aid_3,source_of_aid_4,deliv_official_source_dummy,deliv_source,channel,location,coords,geo_sources,geo_accuracy,building_or_facility,reconstruction_sector,loan_mat,loan_int,loan_gra,updated_dummy,total_value_dummy,month,short_term,earmarked_year,activity_match_deliv,value_source_activity_type,value_source_deliv_type,alloc_no_date,reallocation_sub_activity_id,Working/Debug >>>,before_war,month_exists_dummy,ukraine_asked_dummy,heavy_undisclosed_package,heavy_undisclosed_deliv,ammo_dummy,in_kind_dummy,deliv_more_than_comm,non_eu_nato_dummy,nato_dummy,eu_dummy,eu_geo_dummy,source_of_weapon,dummy_first_row_commitment_check (1=error),dummy_month_check (1=error),allocation_dummy_check (1= error),formula_dummy _check(1=error),reimbursement_value_type,reimbursed_with,deflator,change_currency,inflation_percentage,tot_sub_activity_value_EUR_OLD,notes,procurement_location,procurement_contractor,mixed_package_dummy,year_month,year
AUH11,AUH11_1,Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 20 million to the Ukraine Energy Support Fund, to provide heat and electricity for Ukrainians.  Sources 3 and 4 restate this allocation.",AUD,Allocation,"20,000,000",20000000.0,12256984.0,11239190.0,20000000.0,12256984.0,11239190.0,11239190.0,12256984.0,,.,.,.,0.0,.,., . ,,,1.0,"https://www.foreignminister.gov.au/minister/penny-wong/media-release/energy-and-humanitarian-assistance-ukraine#:~:text=Australia%20is%20unwavering%20in%20our,%24880%20million%20in%20military%20support. ",https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-adelaide-14,https://www.dfat.gov.au/crisis-hub/russias-invasion-ukraine,https://www.foreignminister.gov.au/minister/penny-wong/transcript/press-conference-adelaide-14,0.0,.,EU Ukraine Energy Support Fund,,,,,,,,,,0.0,1.0,May,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,12341108.0,,,,,2024-05,2024
AUH12,AUH12_1,Australia,2024-07-21,Humanitarian,Contribution,"When comparing the web archive of the ""Crisis Hub"" page on the Australian government website between July 15, 2024, and July 21, 2024, it is observed that the grant amount provided to the United Nations Partnership on the Rights of Persons with Disabilities (UNPRPD) was originally reported as 1 million on May 31, 2024, but was updated to 2 million. This suggests that an additional 1 million may have been allocated to UNPRPD by the Australian Government.",AUD,Allocation,"1,000,000",1000000.0,615106.0,564029.0,1000000.0,615106.0,564029.0,564029.0,615106.0,,.,.,.,0.0,.,., . ,,,1.0,https://web.archive.org/web/20240715102948/https://www.dfat.gov.au/crisis-hub/russias-invasion-ukraine,https://web.archive.org/web/20240721063053/https://www.dfat.gov.au/crisis-hub/russias-invasion-ukraine,.,.,0.0,.,UNPRPD,,,,,,,,,,0.0,1.0,July,1.0,2024,0.0,Value is given by the source,Value is not given at all,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,617055.0,,,,,2024-07,2024
AUH13,AUH13_1,Australia,2024-12-18,Humanitarian,Contribution,"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 66 million to the European Bank of Reconstruction and Development to assist with Ukraine’s vital recovery and reconstruction efforts.",AUD,Allocation,"66,000,000",66000000.0,39930666.0,36614908.0,66000000.0,39930666.0,36614908.0,36614908.0,39930666.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.foreignminister.gov.au/minister/penny-wong/media-release/australia-bolsters-support-ukraine,.,.,.,0.0,.,EBRD,,,,,,,,,,1.0,1.0,December,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,40725657.0, ,,,,2024-12,2024
AUH14,AUH14_1,Australia,2024-12-18,Humanitarian,Contribution,"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 10 million in assistance to the Ukraine Energy Support Fund to provide heat and electricity for Ukrainians.",AUD,Allocation,"10,000,000",10000000.0,6050101.0,5547713.0,10000000.0,6050101.0,5547713.0,5547713.0,6050101.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.foreignminister.gov.au/minister/penny-wong/media-release/australia-bolsters-support-ukraine,.,.,.,0.0,.,EU Ukraine Energy Support Fund,,,,,,,,,,1.0,1.0,December,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,6170554.0,,,,,2024-12,2024
AUH15,AUH15_1,Australia,2024-12-18,Humanitarian,Contribution,"During her trip to Kyiv, Foreign Minister Wong announced that Australia will provide AUD 80,000 to help facilitate the work of Ukrainian NGO ""Save Ukraine"".",AUD,Allocation,"80,000",80000.0,48401.0,44382.0,80000.0,48401.0,44382.0,44382.0,48401.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.foreignminister.gov.au/minister/penny-wong/media-release/australia-bolsters-support-ukraine,.,.,.,0.0,.,.,,,,,,,,,,1.0,1.0,December,1.0,2024,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,109.0,0.960502,114.147538,49364.0,,,,,2024-12,2024
AUM1,AUM1_1,Australia,2022-02-28,Military,Funding for Weapon Acquisition Program,Australia contributed USD 3 million to NATO'S Trust Fund for Ukraine to support non-lethal military equipment and medical supplies.,USD,Allocation,"3,000,000",3000000.0,2645059.0,2198276.0,3000000.0,2645059.0,2198276.0,2198276.0,2645059.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.foreignminister.gov.au/minister/marise-payne/media-release/economic-measures-against-russia-and-lethal-military-equipment-ukraine - :~:text=Australia%20will%20contribute%20US%243%20million%20to%20NATO%E2%80%99s%20Trust%20Fund%20for%20Ukraine%20to%20support%20non-lethal%20military%20equipment%20and%20medical%20supplies,https://www.minister.defence.gov.au/media-releases/2022-07-04/australia-increases-support-ukraine - :~:text=%E2%80%9CAustralia%20will%20also%20contribute%20AUD%20%2420%20million%20to%20NATO%E2%80%99s%20Ukraine%20Comprehensive%20Assistance%20Package%20Trust%20Fund%2C%20in%20addition%20to%20the%20AUD%20%244.2%20million%20Defence%20contributed%20immediately%20following%20Russia%E2%80%99s%20invasion,.,.,0.0,.,NATO CAP,,,,,,,,,,0.0,1.0,February,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,procurement,0.0,0,0.0,0.0,,,120.0,1.123234,107.123076,2788363.0,,,,,2022-02,2022
AUM2,AUM2_1,Australia,2022-03-01,Military,Weapons and equipment,"Australia has announced around 70 million AUD in lethal military assistance to support the defence of Ukraine, including missiles and weapons. They also provide a range of non-lethal military equipment and medical supplies in response to a specific request from the Ukrainian Government. No further information about the composition of the equipment was disclosed.",AUD,Allocation,"70,000,000",70000000.0,46834320.0,42107636.0,70000000.0,46834320.0,42107636.0,42107636.0,46834320.0,,.,.,.,0.0,.,., . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43831,https://pmtranscripts.pmc.gov.au/release/transcript-43868,https://www.theguardian.com/australia-news/2022/feb/27/labor-warns-china-it-should-not-take-comfort-from-russian-invasion-of-ukraine,.,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,.,0.0,0.0,0.0,0.0,stocks,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,43193879.0,,,,,2022-03,2022
AUM3,AUM3_1,Australia,2022-03-20,Military,Assistance,Additional 21 million AUD support package of defensive military assistance for the Ukrainian Armed Forces. No further information was disclosed.,AUD,Allocation,"21,000,000",21000000.0,14050296.0,12632291.0,21000000.0,14050296.0,12632291.0,12632291.0,14050296.0,,.,.,.,0.0,.,., . ,,,1.0,https://www.foreignminister.gov.au/minister/marise-payne/media-release/additional-support-ukraine,https://pmtranscripts.pmc.gov.au/release/transcript-43868 ,https://www.globalcitizen.org/en/content/australia-ukraine-aid-follow-up/,.,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,.,0.0,0.0,0.0,0.0,stocks,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,12958164.0,,,,,2022-03,2022
AUM4,AUM4_1,Australia,2022-03-31,Military,Equipment,"This 25 million AUD package of additional defensive military assistance will include tactical decoys, unmanned aerial and unmanned ground systems, rations, and medical supplies.",AUD,Allocation,"25,000,000",25000000.0,16726543.0,15038441.0,25000000.0,16726543.0,15038441.0,15038441.0,16726543.0,,tactical decoy,Military equipment,Military equipment,0.0,undisclosed,undisclosed, . ,,,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43925,https://www.easternriverinachronicle.com.au/story/7680638/australia-sends-25m-for-ukraine-military/?cs=7,https://www.abc.net.au/news/2022-03-31/more-military-aid-defence-weapons-ukraine-zelenskyy/100955544,.,0.0,.,.,,,,,,,,,,0.0,1.0,March,1.0,2022-2023,0.0,Value is given by the source,Value is not given at all,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,15426385.0,,,,,2022-03,2022
AUM5,AUM5_1,Australia,2022-04-08,Military,Equipment,"On April 8, the prime minister announced that Australia sends additional 20 Bushmaster Protected Mobility Vehicles to Ukraine. It is mentioned that these vehicles increase the total commitment of military assistance from 116 million AUD (the sum of AUM1 - AUM3) to 165 million AUD. Hence, we can deduce that the 20 Bushmasters have a value of 49 million AUD (165 million - 116 million).",AUD,Allocation,"49,000,000",49000000.0,33416606.0,30044085.0,49000000.0,33416606.0,30044085.0,30044085.0,33416606.0,30044085.0,Bushmaster Protected Mobility Vehicles,Heavy weapon,Armored Utility Vehicle (AUV),0.0,20,20," 1,650,000 ",33000000.0,33000000.0,1.0,https://pmtranscripts.pmc.gov.au/release/transcript-43947,https://www.minister.defence.gov.au/statements/2022-04-08/australia-gift-20-bushmasters-government-ukraine,.,.,1.0,https://news.defence.gov.au/international/working-together-ukraine,.,,,,,,,,,,0.0,1.0,April,1.0,2022-2023,1.0,Value is given by the source,Value is given by the source,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,.,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,,,111.0,1.038294,107.123076,30235715.0,,,,,2022-04,2022
