"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Russian Federation","RUS","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2866115966943","15.2375728814421","22.8017233657093","30.2624755981087","32.1644058981928","30.4643082814328","26.365850813485","23.6548645554698","22.7211891733957","25.944032325348","27.9819163409618","29.3505961603497","30.3949162105497","28.8133455380476","27.1943270372686","24.7816326377551","20.1229718409064","17.7315602760589","12.7111878280047","12.3348355978899","11.6515618374112","11.2824271036194","11.3117539295343","11.1373638823174","11.4467837871236","11.5063145843619","10.9324596618408","9.13906375616579","8.21408286450418","7.68617006705188","7.3459663833896","6.79931955806077","","","",
"Russian Federation","RUS","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7100","60000","",
"Russian Federation","RUS","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","","27.8606967926025","","29.3532333374023","","26.8656711578369","25.3731346130371","23.0769233703613","22.5961532592773","16.8269233703613","15.865385055542","17.3076915740967","14.6919431686401","15.6398105621338","17.3708915710449","15.023473739624","14.5539903640747","13.7931032180786","12.8078813552856","12.8078813552856","12.8078813552856","13.1067962646484","12.5603866577148","14.4927539825439","13.043478012085","8.21256065368652","7.35294103622437","",
"Russian Federation","RUS","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.6272228685391","40.8030781634735","53.4740313521165","50.8780701916371","52.0439375195421","33.5545148427755","30.3449087552808","28.5871736750101","27.8634730138566","24.6197682240537","24.2097848954945","20.5119477659378","21.4973750040866","21.6856636661095","20.9478836465527","20.6503720169033","18.1531704788009","19.753836055671","17.5040999075894","17.3466338826579","18.1416820057771","16.5715654425139","15.630747070487","15.7868132562474","18.2185197596117","17.9771619235497","8.27873845374424","7.30742261661745","11.6779574516912","16.6679975601972","",
"Russian Federation","RUS","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8423800000","10567340000","13281400000","14079740000","12505030000","11094960000","11300380000","12493680000","14956750000","18284900000","22843780000","28615810000","35481960000","43563020000","56531200000","45356810000","48644230000","57344710000","61464800000","69110930000","64817970000","50809020000","49818860000","56658870000","63623720000","60971860000","47214440000","54620900000","47989934342.7964","40389870133.5823","",
"Russian Federation","RUS","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35407700000","42735300000","61321388000","74689008000","81971172200","83919037000","70048700000","71432990616.1682","102798377322","82022313335","105367232983","130994170177","165810819838","237270085734","289567605222","349955398567","465334120059","235555335589","328603715940","416596343776","523988578357","526921540974","497402342612","343193950549","285339778620","355552169892","448448886431","418946982417","337491771871","491442640725","592681518368.697","455153947739.4","",
"Russian Federation","RUS","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.57571093293267","3.57666846845582","1.17223047854037","1.41881654125062","1.28962959980704","1.4328560514821","1.90107168298627","2.14516926812408","1.77412126096828","2.65685876853963","2.43153304539501","2.20210505711993","2.66032409483876","2.12744129938866","1.87061626829674","2.69273479580166","2.40164353488264","3.04055692777713","2.83149424843963","2.56596837675267","2.23631385759259","1.58788504025362","2.54887651703113","3.18827054366675","4.47855131934426","4.59110117762982","3.90557994120359","3.08180745652176","3.263460908081","2.86022909047195","2.56071749881793","3.5074073362114","",
"Russian Federation","RUS","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0558296641691","15.0861231815384","8.9616595110339","10.4964575242451","10.7339699602344","9.61883654599135","9.51756991921335","11.3751659984623","9.91100387906569","10.4393688032525","12.693715882392","12.6900115803159","12.6112121316511","10.6928461776016","10.0191780654322","10.1625541165044","10.3508769287954","14.6803144469358","13.5796358678877","14.5263260890592","13.3937485051791","12.6801092719603","14.8676044380206","16.9210792457452","20.4971284147133","21.485877716962","22.5586926608559","21.9738314375467","24.5501575824105","24.0960567726284","31.5219419298718","49.9234777942705","",
"Russian Federation","RUS","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.92371391351388","11.3379394627793","16.11753846322","11.399865385519","9.13824279912298","7.76359075824941","7.23812309172877","6.79267321171407","7.54616354995644","6.51179321692703","8.00467825169443","8.13641951091464","5.4575239167651","5.25762018292406","5.46295347541622","4.79733097260547","5.13944663103542","4.57539836873419","4.62236197775783","5.90115777218879","6.04896824432423","6.02759162477638","5.65644967703026","6.17355170558279","8.63720072203089","7.40377266771173","","","",
"Russian Federation","RUS","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.1222213192119","46.5695638916281","38.9882468378703","41.7695730347058","50.6010783794118","51.8103660490427","52.4883815852667","54.5075199017182","54.6966789645053","61.7805796867657","62.8821173688846","61.4635425789649","65.6784005422627","63.0130269894952","65.6482925992393","67.028076569532","70.2890584289155","70.5594810320243","69.5250946236846","62.8369478990481","48.291548108568","49.1248783758441","52.6808355618333","51.9517105308961","42.0988979009334","43.1468587746174","","","",
