Area,Fatalities,Time period,Source
Donetsk People's Republic ,3440,26 February 2022 – 22 December 2024,Donetsk PR
Luhansk People's Republic,972,17 February 2022 – 28 December 2023,Luhansk PR
Russian-annexed Kherson Oblast,41,6 June 2023,Russia
Republic of Crimea,8,24 February 2022 – 17 July 2023,Russia
Sevastopol,5,23 June 2024,Russia
Western Russia,394,24 February 2022 – 25 December 2024,
